Age,Male,Female,Malect,Femalect,Year,Total,Totalct,ag
0 to 4,2.7540888556036043,2.7081873746768776,1140,1121,2009,5.462276230280482,2261,"(2,261 : 5.46%)"
5 to 9,2.4883434397120285,2.2564201676611986,1030,934,2009,4.744763607373227,1964,"(1,964 : 4.74%)"
10 to 14,2.019665160775977,1.6597009156137512,836,687,2009,3.6793660763897282,1523,"(1,523 : 3.68%)"
15 to 19,3.6600391370521588,4.1770347643321335,1515,1729,2009,7.837073901384292,3244,"(3,244 : 7.84%)"
20 to 24,11.192713743869737,12.154228975913801,4633,5031,2009,23.346942719783538,9664,"(9,664 : 23.35%)"
25 to 29,3.6093059212910394,4.363056555456237,1494,1806,2009,7.972362476747277,3300,"(3,300 : 7.97%)"
30 to 34,2.795158601695939,2.7323460488488394,1157,1131,2009,5.5275046505447785,2288,"(2,288 : 5.53%)"
35 to 39,2.65020655666417,3.029497741163965,1097,1254,2009,5.679704297828135,2351,"(2,351 : 5.68%)"
40 to 44,2.2540043002440027,2.2564201676611986,933,934,2009,4.510424467905201,1867,"(1,867 : 4.51%)"
45 to 49,2.3409755272630637,2.645374821829778,969,1095,2009,4.986350349092842,2064,"(2,064 : 4.99%)"
50 to 54,2.3675500688522213,2.5004227767980094,980,1035,2009,4.867972845650231,2015,"(2,015 : 4.87%)"
55 to 59,2.0003382214384073,2.258836035078395,828,935,2009,4.259174256516802,1763,"(1,763 : 4.26%)"
60 to 64,1.4809267267412365,2.0172492933587804,613,835,2009,3.4981760201000167,1448,"(1,448 : 3.50%)"
65 to 69,1.4930060638272171,1.9568526079288768,618,810,2009,3.449858671756094,1428,"(1,428 : 3.45%)"
70 to 74,1.0678133984006957,1.5993042301838476,442,662,2009,2.6671176285845433,1104,"(1,104 : 2.67%)"
75 to 79,1.0509023264803228,2.0365762326963495,435,843,2009,3.087478559176672,1278,"(1,278 : 3.09%)"
80 to 84,1.0412388568115383,1.2924890681999373,431,535,2009,2.3337279250114755,966,(966 : 2.33%)
85 and up,0.41311332834054065,1.676611987534124,171,694,2009,2.0897253158746647,865,(865 : 2.09%)
0 to 4,2.6569191094707456,2.4629143303286254,1123,1041,2010,5.119833439799371,2164,"(2,164 : 5.12%)"
5 to 9,2.2736413750680198,1.7744339555681738,961,750,2010,4.048075330636194,1711,"(1,711 : 4.05%)"
10 to 14,1.7980930749757493,1.6466747107672652,760,696,2010,3.4447677857430143,1456,"(1,456 : 3.44%)"
15 to 19,4.937658220361038,5.399011048808763,2087,2282,2010,10.3366692691698,4369,"(4,369 : 10.34%)"
20 to 24,9.662384366053896,11.325620460406464,4084,4787,2010,20.98800482646036,8871,"(8,871 : 20.99%)"
25 to 29,5.427401992097854,5.268885892067098,2294,2227,2010,10.696287884164953,4521,"(4,521 : 10.70%)"
30 to 34,3.2838857737715004,3.014171812525138,1388,1274,2010,6.298057586296638,2662,"(2,662 : 6.30%)"
35 to 39,2.8674852721981687,2.957389925946956,1212,1250,2010,5.824875198145125,2462,"(2,462 : 5.82%)"
40 to 44,2.122223010859536,2.2736413750680198,897,961,2010,4.395864385927556,1858,"(1,858 : 4.40%)"
45 to 49,2.5599167198996855,2.6403577258854427,1082,1116,2010,5.200274445785128,2198,"(2,198 : 5.20%)"
50 to 54,2.491305273617716,2.7539214990418057,1053,1164,2010,5.245226772659522,2217,"(2,217 : 5.25%)"
55 to 59,2.4392552109210497,2.562282631840443,1031,1083,2010,5.0015378427614925,2114,"(2,114 : 5.00%)"
60 to 64,1.566233704781508,2.1293207466818087,662,900,2010,3.695554451463317,1562,"(1,562 : 3.70%)"
65 to 69,1.2752265360683275,1.691627037641659,539,715,2010,2.9668535737099866,1254,"(1,254 : 2.97%)"
70 to 74,0.8801192419618142,1.2066150897863581,372,510,2010,2.0867343317481724,882,(882 : 2.09%)
75 to 79,0.7145054061087847,0.9960489270589349,302,421,2010,1.7105543331677195,723,(723 : 1.71%)
80 to 84,0.6127711926562094,0.9960489270589349,259,421,2010,1.6088201197151442,680,(680 : 1.61%)
85 and up,0.3028367284169683,1.0291716942295408,128,435,2010,1.332008422646509,563,(563 : 1.33%)
0 to 4,2.7433462743814023,2.5047944244351936,1173,1071,2011,5.248140698816596,2244,"(2,244 : 5.25%)"
5 to 9,2.053416904438935,1.5038121521118855,878,643,2011,3.5572290565508204,1521,"(1,521 : 3.56%)"
10 to 14,1.8288975162542682,1.8780111324196642,782,803,2011,3.7069086486739327,1585,"(1,585 : 3.71%)"
15 to 19,4.569905047008747,3.8940081388278216,1954,1665,2011,8.463913185836567,3619,"(3,619 : 8.46%)"
20 to 24,10.108049955563871,12.828008793676037,4322,5485,2011,22.93605874923991,9807,"(9,807 : 22.94%)"
25 to 29,5.524112446793582,5.22475326254736,2362,2234,2011,10.748865709340942,4596,"(4,596 : 10.75%)"
30 to 34,3.475373029608494,3.1760138453622715,1486,1358,2011,6.651386874970766,2844,"(2,844 : 6.65%)"
35 to 39,2.8345572758314233,2.9912530988353057,1212,1279,2011,5.8258103746667285,2491,"(2,491 : 5.83%)"
40 to 44,2.130595444127415,2.275597548996679,911,973,2011,4.406192993124094,1884,"(1,884 : 4.41%)"
45 to 49,2.3808410122082417,2.6147153749006034,1018,1118,2011,4.995556387108845,2136,"(2,136 : 5.00%)"
50 to 54,2.458019551896721,2.684877683708312,1051,1148,2011,5.142897235605033,2199,"(2,199 : 5.14%)"
55 to 59,2.1493053931428037,2.58665045137752,919,1106,2011,4.735955844520324,2025,"(2,025 : 4.74%)"
60 to 64,1.9481734412273726,2.1212404696197202,833,907,2011,4.069413910847093,1740,"(1,740 : 4.07%)"
65 to 69,1.286308994807989,1.6113943589503719,550,689,2011,2.897703353758361,1239,"(1,239 : 2.90%)"
70 to 74,0.7975115767809533,1.2512278404041348,341,535,2011,2.048739417185088,876,(876 : 2.05%)
75 to 79,0.762430422377099,0.9167875017540578,326,392,2011,1.679217924131157,718,(718 : 1.68%)
80 to 84,0.6104120866270639,0.9448524252771411,261,404,2011,1.555264511904205,665,(665 : 1.56%)
85 and up,0.30169792787314653,1.0290471958463914,129,440,2011,1.330745123719538,569,(569 : 1.33%)
0 to 4,2.801749068782824,2.5056104388867038,1211,1083,2012,5.307359507669528,2294,"(2,294 : 5.31%)"
5 to 9,2.1076741549637923,1.5431598917243134,911,667,2012,3.6508340466881055,1578,"(1,578 : 3.65%)"
10 to 14,1.8601207690350046,1.9225875112787174,804,831,2012,3.782708280313722,1635,"(1,635 : 3.78%)"
15 to 19,4.208407560789395,3.324618837193161,1819,1437,2012,7.533026397982556,3256,"(3,256 : 7.53%)"
20 to 24,9.698540129097934,12.715452421164658,4192,5496,2012,22.41399255026259,9688,"(9,688 : 22.41%)"
25 to 29,5.746940286421581,5.476251070032159,2484,2367,2012,11.22319135645374,4851,"(4,851 : 11.22%)"
30 to 34,3.794276195544039,3.5328413113388706,1640,1527,2012,7.32711750688291,3167,"(3,167 : 7.33%)"
35 to 39,2.8665293940726,2.8850380584411077,1239,1247,2012,5.751567452513708,2486,"(2,486 : 5.75%)"
40 to 44,2.142377900654744,2.4246350322744834,926,1048,2012,4.567012932929227,1974,"(1,974 : 4.57%)"
45 to 49,2.4038127848599125,2.57039076417648,1039,1111,2012,4.9742035490363925,2150,"(2,150 : 4.97%)"
50 to 54,2.4454572796890544,2.6305439233741295,1057,1137,2012,5.076001203063184,2194,"(2,194 : 5.08%)"
55 to 59,2.1840223954838858,2.426948615320547,944,1049,2012,4.610971010804432,1993,"(1,993 : 4.61%)"
60 to 64,2.0498345788122063,2.385304120491405,886,1031,2012,4.435138699303611,1917,"(1,917 : 4.44%)"
65 to 69,1.2655299261967008,1.5501006408625038,547,670,2012,2.8156305670592046,1217,"(1,217 : 2.82%)"
70 to 74,0.8606528931355991,1.272470675334891,372,550,2012,2.13312356847049,922,(922 : 2.13%)
75 to 79,0.7681095712930616,0.9254332184253754,332,400,2012,1.693542789718437,732,(732 : 1.69%)
80 to 84,0.4974203549036393,1.0226037063600397,215,442,2012,1.520024061263679,657,(657 : 1.52%)
85 and up,0.36323253823195983,0.8213219813525207,157,355,2012,1.1845545195844804,512,(512 : 1.18%)
0 to 4,2.7918374825367014,2.581132766873554,1219,1127,2013,5.372970249410256,2346,"(2,346 : 5.37%)"
5 to 9,2.2513340814877587,1.4978356961271557,983,654,2013,3.7491697776149144,1637,"(1,637 : 3.75%)"
10 to 14,1.6673155761170786,1.9833726496117994,728,866,2013,3.650688225728878,1594,"(1,594 : 3.65%)"
15 to 19,4.660696699722878,2.9727687057691865,2035,1298,2013,7.633465405492064,3333,"(3,333 : 7.63%)"
20 to 24,8.71447220758995,12.216292971165517,3805,5334,2013,20.930765178755465,9139,"(9,139 : 20.93%)"
25 to 29,5.876829352082999,5.679866248310927,2566,2480,2013,11.556695600393926,5046,"(5,046 : 11.56%)"
30 to 34,4.003389597599798,3.923230194901862,1748,1713,2013,7.92661979250166,3461,"(3,461 : 7.93%)"
35 to 39,3.0529281084671234,2.7758056019971145,1333,1212,2013,5.828733710464238,2545,"(2,545 : 5.83%)"
40 to 44,2.2307216636511464,2.578842498225042,974,1126,2013,4.809564161876189,2100,"(2,100 : 4.81%)"
45 to 49,2.342944827428257,2.5009733641756178,1023,1092,2013,4.8439181916038745,2115,"(2,115 : 4.84%)"
50 to 54,2.448297185259831,2.6544213636259535,1069,1159,2013,5.102718548885784,2228,"(2,228 : 5.10%)"
55 to 59,2.2994297231065204,2.432265304720244,1004,1062,2013,4.731695027826764,2066,"(2,066 : 4.73%)"
60 to 64,2.063532052309736,2.49410255823008,901,1089,2013,4.557634610539816,1990,"(1,990 : 4.56%)"
65 to 69,1.3329363534342578,1.4085152188351693,582,615,2013,2.741451572269427,1197,"(1,197 : 2.74%)"
70 to 74,0.8588507431921765,1.3993541442411195,375,611,2013,2.258204887433296,986,(986 : 2.26%)
75 to 79,0.8015940269793647,0.9642031010237501,350,421,2013,1.7657971280031148,771,(771 : 1.77%)
80 to 84,0.428280237271832,0.9619128323752376,187,420,2013,1.3901930696470697,607,(607 : 1.39%)
85 and up,0.3916359388956325,0.7580789226576278,171,331,2013,1.1497148615532602,502,(502 : 1.15%)
0 to 4,2.7143017638467586,2.7906976744186047,1208,1242,2014,5.504999438265363,2450,"(2,450 : 5.50%)"
5 to 9,2.121109987641838,1.7481181889675317,944,778,2014,3.8692281766093695,1722,"(1,722 : 3.87%)"
10 to 14,1.7705875744298394,1.952589596674531,788,869,2014,3.7231771711043704,1657,"(1,657 : 3.72%)"
15 to 19,4.46241995281429,2.77721604314122,1986,1236,2014,7.23963599595551,3222,"(3,222 : 7.24%)"
20 to 24,8.410290978541736,11.634647792382879,3743,5178,2014,20.044938770924617,8921,"(8,921 : 20.04%)"
25 to 29,5.8128300190989775,5.801595326367824,2587,2582,2014,11.614425345466802,5169,"(5,169 : 11.61%)"
30 to 34,4.125379170879676,4.091675092686215,1836,1821,2014,8.217054263565892,3657,"(3,657 : 8.22%)"
35 to 39,3.1614425345466803,2.9412425570160656,1407,1309,2014,6.102685091562746,2716,"(2,716 : 6.10%)"
40 to 44,2.36377935063476,2.561509942703067,1052,1140,2014,4.925289293337827,2192,"(2,192 : 4.93%)"
45 to 49,2.368273227727222,2.5772385125266823,1054,1147,2014,4.945511740253904,2201,"(2,201 : 4.95%)"
50 to 54,2.3502977193573757,2.617683406358836,1046,1165,2014,4.967981125716212,2211,"(2,211 : 4.97%)"
55 to 59,2.703067071115605,2.723289518031682,1203,1212,2014,5.426356589147287,2415,"(2,415 : 5.43%)"
60 to 64,1.8447365464554544,2.3907426131895293,821,1064,2014,4.235479159644983,1885,"(1,885 : 4.24%)"
65 to 69,1.3773733288394563,1.444781485226379,613,643,2014,2.8221548140658355,1256,"(1,256 : 2.82%)"
70 to 74,0.8807999101224582,1.370632513200764,392,610,2014,2.251432423323222,1002,"(1,002 : 2.25%)"
75 to 79,0.6987978878777665,0.7841815526345355,311,349,2014,1.482979440512302,660,(660 : 1.48%)
80 to 84,0.4448938321536906,1.013369284350073,198,451,2014,1.4582631165037636,649,(649 : 1.46%)
85 and up,0.39096730704415233,0.7774407369958432,174,346,2014,1.1684080440399955,520,(520 : 1.17%)
0 to 4,2.626208854582557,2.8591074438825306,1184,1289,2015,5.485316298465087,2473,"(2,473 : 5.49%)"
5 to 9,2.198119066631177,1.8387898145683612,991,829,2015,4.036908881199539,1820,"(1,820 : 4.04%)"
10 to 14,1.7522846242569425,1.847662141779789,790,833,2015,3.5999467660367315,1623,"(1,623 : 3.60%)"
15 to 19,4.07905243545382,2.6683524088368378,1839,1203,2015,6.747404844290657,3042,"(3,042 : 6.75%)"
20 to 24,8.182503770739064,10.278591074438825,3689,4634,2015,18.46109484517789,8323,"(8,323 : 18.46%)"
25 to 29,5.953331558867891,6.097506876053589,2684,2749,2015,12.05083843492148,5433,"(5,433 : 12.05%)"
30 to 34,4.2121373436252325,4.311951024753793,1899,1944,2015,8.524088368379026,3843,"(3,843 : 8.52%)"
35 to 39,3.0387720699139384,3.1408038328453554,1370,1416,2015,6.179575902759294,2786,"(2,786 : 6.18%)"
40 to 44,2.6905332268654067,2.6750066542454087,1213,1206,2015,5.3655398811108155,2419,"(2,419 : 5.37%)"
45 to 49,2.544139827876852,2.6683524088368378,1147,1203,2015,5.21249223671369,2350,"(2,350 : 5.21%)"
50 to 54,2.3800017744654425,2.6506077544139828,1073,1195,2015,5.030609528879426,2268,"(2,268 : 5.03%)"
55 to 59,2.7703841717682547,2.821400053233963,1249,1272,2015,5.591784225002218,2521,"(2,521 : 5.59%)"
60 to 64,2.0184544405997693,2.506432437228285,910,1130,2015,4.524886877828054,2040,"(2,040 : 4.52%)"
65 to 69,1.3264129181084199,1.4905509715198297,598,672,2015,2.8169638896282496,1270,"(1,270 : 2.82%)"
70 to 74,1.0003548930884572,1.401827699405554,451,632,2015,2.402182592494011,1083,"(1,083 : 2.40%)"
75 to 79,0.6676426226599237,0.7585839765770561,301,342,2015,1.4262265992369798,643,(643 : 1.43%)
80 to 84,0.481323751219945,0.9670836660456038,217,436,2015,1.4484074172655488,653,(653 : 1.45%)
