OccupancyStatus,10th & Page,Barracks / Rugby,Barracks Road,Belmont,Fifeville,Fry's Spring,Greenbrier,Jefferson Park Avenue,Johnson Village,Lewis Mountain,Locust Grove,Martha Jefferson,North Downtown,Ridge Street,Rose Hill,Starr Hill,The Meadows,Venable,Woolen Mills,10th & Pagect,Barracks / Rugbyct,Barracks Roadct,Belmontct,Fifevillect,Fry's Springct,Greenbrierct,Jefferson Park Avenuect,Johnson Villagect,Lewis Mountainct,Locust Grovect,Martha Jeffersonct,North Downtownct,Ridge Streetct,Rose Hillct,Starr Hillct,The Meadowsct,Venablect,Woolen Millsct,Year
Occupied,82.93577981651376,96.45669291338582,71.83908045977012,93.63591514553528,87.61006289308176,92.52625077208153,94.91173416407061,92.14195183776933,100.0,80.6896551724138,94.30147058823529,88.4318766066838,94.7219604147031,93.94792399718509,80.59360730593608,88.30963665086888,90.4833836858006,77.37373737373737,100.0,452,980,125,1898,1393,1498,914,1454,595,234,1026,688,1005,1335,353,559,599,1915,420,2013
Vacant,17.06422018348624,3.543307086614173,28.160919540229884,6.364084854464727,12.38993710691824,7.473749227918468,5.088265835929388,7.858048162230672,0.0,19.310344827586206,5.698529411764706,11.568123393316196,5.27803958529689,6.052076002814919,19.40639269406393,11.690363349131122,9.516616314199396,22.626262626262626,0.0,93,36,49,129,197,121,49,124,0,56,62,90,56,86,85,74,63,560,0,2013
Occupied,86.39344262295081,94.49626865671642,75.11961722488039,94.29499072356215,86.85331710286061,93.14359637774903,94.0,88.54712041884817,100.0,90.17543859649123,92.9453262786596,85.44061302681992,94.38202247191012,90.54325955734406,81.5,86.54390934844193,92.89772727272727,78.32446808510639,100.0,527,1013,157,2033,1427,1440,846,1353,639,257,1054,669,1008,1350,326,611,654,1767,473,2014
Vacant,13.60655737704918,5.503731343283582,24.880382775119617,5.705009276437848,13.14668289713938,6.85640362225097,6.0,11.452879581151832,0.0,9.824561403508772,7.054673721340388,14.559386973180077,5.617977528089888,9.456740442655935,18.5,13.456090651558073,7.1022727272727275,21.675531914893618,0.0,83,59,52,123,216,106,54,175,0,28,80,114,60,141,74,95,50,489,0,2014
Occupied,90.21922428330522,93.49422875131165,75.60240963855422,94.38153310104529,85.0407450523865,92.7536231884058,94.15384615384616,84.47626224566692,100.0,100.0,89.51890034364261,84.0909090909091,94.72727272727273,89.42731277533039,82.17054263565892,83.37765957446808,95.12937595129375,79.19855920756416,100.0,535,891,251,2167,1461,1472,918,1121,712,255,1042,703,1042,1421,318,627,625,1759,432,2015
Vacant,9.780775716694773,6.505771248688353,24.397590361445783,5.618466898954704,14.959254947613504,7.246376811594203,5.846153846153846,15.523737754333082,0.0,0.0,10.481099656357388,15.909090909090908,5.2727272727272725,10.572687224669604,17.829457364341085,16.622340425531913,4.87062404870624,20.80144079243584,0.0,58,62,81,129,257,115,57,206,0,0,122,133,58,168,69,125,32,462,0,2015
Occupied,87.99392097264437,92.85714285714286,80.37825059101655,92.43840271877654,87.87699586043762,95.29627367135004,90.84051724137932,83.36886993603412,100.0,100.0,88.32179930795847,88.51269649334945,95.19852262234534,90.02418379685611,90.85872576177286,72.51533742331289,93.50073855243723,82.33082706766918,96.44444444444444,579,949,340,2176,1486,1560,843,1173,605,258,1021,732,1031,1489,328,591,633,1752,434,2016
Vacant,12.006079027355623,7.142857142857143,19.62174940898345,7.56159728122345,12.12300413956239,4.703726328649969,9.15948275862069,16.631130063965884,0.0,0.0,11.678200692041523,11.487303506650544,4.801477377654663,9.975816203143893,9.141274238227147,27.484662576687118,6.499261447562777,17.669172932330827,3.5555555555555554,79,73,83,178,205,77,85,234,0,0,135,95,52,165,33,224,44,376,16,2016
Occupied,89.69889064976228,93.62591431556949,87.41721854304636,93.12191103789127,87.53056234718827,98.03318992009834,92.37713139418254,85.986793837124,100.0,95.3125,86.28127696289906,93.67396593673966,93.38103756708408,90.68509615384616,91.48936170212765,71.04337631887456,93.70529327610873,86.5282472235635,96.16161616161617,566,896,396,2261,1432,1595,921,1172,729,244,1000,770,1044,1509,344,606,655,1792,476,2017
Vacant,10.301109350237718,6.374085684430512,12.582781456953642,6.878088962108731,12.469437652811736,1.9668100799016595,7.622868605817453,14.013206162876008,0.0,4.6875,13.718723037100949,6.326034063260341,6.618962432915922,9.314903846153847,8.51063829787234,28.95662368112544,6.294706723891273,13.471752776436505,3.8383838383838382,65,61,57,167,204,32,76,191,0,12,159,52,74,155,32,247,44,279,19,2017
Occupied,83.28804347826087,96.88796680497926,93.43544857768053,94.61224489795919,90.3740036787247,92.81326781326781,92.61083743842364,84.30361090641121,100.0,91.41630901287553,84.60891505466779,93.81313131313131,94.87179487179488,89.27501497902936,100.0,78.35164835164835,100.0,88.14741035856574,85.21594684385381,613,934,427,2318,1474,1511,940,1144,725,213,1006,743,999,1490,381,713,699,1770,513,2018
Vacant,16.71195652173913,3.112033195020747,6.564551422319475,5.387755102040816,9.625996321275291,7.186732186732187,7.389162561576355,15.696389093588799,0.0,8.583690987124463,15.391084945332212,6.186868686868687,5.128205128205129,10.72498502097064,0.0,21.64835164835165,0.0,11.852589641434262,14.784053156146179,123,30,30,132,157,117,75,213,0,20,183,49,54,179,0,197,0,238,89,2018
Occupied,78.56135401974612,96.3718820861678,92.09302325581395,95.43043655650754,91.39447236180905,90.55659787367104,91.43407122232917,83.82671480144404,100.0,89.1891891891892,87.123745819398,86.02661596958175,95.95484477892757,91.4569923932124,100.0,81.19079837618403,98.7012987012987,84.80662983425414,83.7748344370861,557,850,396,2339,1455,1448,950,1161,739,231,1042,905,1020,1563,329,600,684,1842,506,2019
Vacant,21.438645980253877,3.6281179138321997,7.906976744186046,4.569563443492452,8.605527638190955,9.443402126328955,8.565928777670837,16.173285198555956,0.0,10.81081081081081,12.876254180602007,13.97338403041825,4.045155221072436,8.543007606787596,0.0,18.809201623815966,1.2987012987012987,15.193370165745856,16.225165562913908,152,32,34,112,137,151,89,224,0,28,154,147,43,146,0,139,9,330,98,2019
Occupied,75.71189279731993,92.17506631299734,86.6943866943867,96.20253164556962,96.24494511842866,88.73841767640769,88.24120603015075,87.8099173553719,97.16399506781751,90.97472924187726,81.92771084337349,89.52042628774423,94.06593406593407,92.69061121613106,100.0,83.83084577114428,98.45360824742268,89.37138130686517,85.81661891117479,452,695,417,2128,1666,1245,878,1275,788,252,884,1008,1284,1471,364,674,573,2161,599,2020
Vacant,24.288107202680067,7.824933687002653,13.305613305613306,3.7974683544303796,3.755054881571346,11.261582323592302,11.758793969849247,12.190082644628099,2.8360049321824907,9.025270758122744,18.072289156626507,10.479573712255773,5.934065934065934,7.309388783868935,0.0,16.16915422885572,1.5463917525773196,10.628618693134822,14.183381088825215,145,59,64,84,65,158,117,177,23,25,195,118,81,116,0,130,9,257,99,2020
Occupied,85.17110266159696,92.1875,83.2089552238806,97.67129422301836,95.4225352112676,89.75356679636835,88.53974121996303,86.24904507257449,92.9845422116528,91.15384615384616,82.06039076376554,90.16681299385426,92.5,92.63089851325145,100.0,88.53146853146853,98.64636209813875,89.19587628865979,78.47328244274809,672,708,446,2181,1626,1384,958,1129,782,237,924,1027,1369,1433,543,633,583,2163,514,2021
Vacant,14.828897338403042,7.8125,16.791044776119403,2.328705776981639,4.577464788732394,10.246433203631646,11.460258780036968,13.750954927425516,7.015457788347206,8.846153846153847,17.939609236234457,9.833187006145742,7.5,7.369101486748545,0.0,11.468531468531468,1.353637901861252,10.804123711340207,21.52671755725191,117,60,90,52,78,158,124,180,59,23,202,112,111,114,0,82,8,262,141,2021
